QuestionID,Field,Original,Corrected
1,Explanation,"社会福祉士及び介護福祉士法 第四十五条に、社会福祉士は、その業務を行うに当たって信用を傷つけるような行為をしてはならない旨が規定されています。業務時間外であっても、社会福祉士としての品位を損なう行為は慎むべきです。また、社会福祉士会への入会は義務ではありませんが、資格を有する限り、この規定は適用されます。介護福祉士にも同様の規定があります。","社会福祉士及び介護福祉士法 第四十五条に、社会福祉士は、その業務を行うに当たって信用を傷つけるような行為をしてはならない旨が規定されています。この規定は、社会福祉士の専門職としての信頼性を維持するために設けられています。業務時間外であっても、社会福祉士としての品位を損なう行為は慎むべきであり、社会福祉士会への入会の有無にかかわらず、資格を有する限り適用されます。なお、介護福祉士にも同様の規定（第四十条）が存在します。"
2,Explanation,"社会保障給付費は、年金、医療、福祉その他に大別されます。その内訳を見ると、年金が約半分を占め、最も大きな割合を占めています。次いで医療費が多くなっています。","社会保障給付費は、年金、医療、福祉その他に大別され、さらに介護給付費が独立した項目として存在します。最新の統計では、年金が社会保障給付費全体の約半分を占め、最も大きな割合となっています。次いで医療費が多くなっています。"
3,Explanation,"レスポンデント条件づけ（古典的条件づけ）は、パブロフの犬の実験で知られるように、中性的な刺激と無条件刺激を連合させることで、中性的な刺激が条件刺激となり、条件反射を引き起こすようになる学習のことです。事故という無条件刺激によって引き起こされた恐怖や不安が、自動車という条件刺激によっても引き起こされるようになったという事例が該当します。","レスポンデント条件づけ（古典的条件づけ）は、パブロフの犬の実験で知られる学習過程です。これは、ある刺激（無条件刺激：この場合は事故）に対する生得的な反応（恐怖や不安）が、元々は中立的な別の刺激（条件刺激：この場合は自動車）と対になることで、その中立的な刺激だけでも同様の反応を引き起こすようになる現象を指します。その他の選択肢は、オペラント条件づけや慣れ（馴化）の例です。"
4,Explanation,"展望的記憶とは、将来のある時点で行う予定の行動を覚えておく記憶のことです。遊園地に行くという将来の予定を覚えていて、実際に出かけるという行動に移しているので、展望的記憶の例として適切です。","展望的記憶とは、将来のある時点で行う予定の行動を覚えておき、適切なタイミングでそれを実行する能力を指します。選択肢の中で、友人と遊園地に行く約束を覚えていて実際に出かけるという行動は、まさにこの展望的記憶の典型例です。他の選択肢は、知識、想起、手続き記憶、または過去の出来事に関する記憶の例です。"
5,Explanation,"エリクソンの発達段階説における老年期（65歳～）の心理社会的危機は「統合 vs 絶望」であり、課題は人生を振り返り、肯定的に自己受容することで統合感を獲得することです。達成できない場合は、絶望に陥るとされています。","エリクソンの発達段階説において、老年期（65歳～）は「統合 vs 絶望」の段階にあたり、人生を振り返り、それを受け入れることで「統合感」を獲得することが課題とされます。人生を肯定的に捉えられなかった場合、絶望感に苛まれるとされています。他の選択肢は、それぞれ異なる発達段階における課題です。"
9,Explanation,"加齢に伴い、下部食道括約筋の収縮力は低下し、食道への逆流を防ぐ機能が弱まるため、逆流性食道炎や嚥下障害のリスクが高まります。一般的に、肺の残気量は増加、拡張期血圧は上昇、聴力は高音域から低下、膀胱容量は減少する傾向があります。","加齢に伴い、下部食道括約筋の機能が低下し、食道への逆流を防ぐ力が弱まるため、嚥下機能が低下し、むせやすくなります。また、一般的に高齢者では肺の残気量は増加、拡張期血圧は上昇、聴力は高音域から低下、膀胱容量は減少する傾向があります。"
10,Explanation,"ICF（国際生活機能分類）では、右半身麻痺は身体機能の障害であり、「活動」レベルにおける制限として捉えられます。杖の使用は、個人の生活をサポートする「環境因子」に該当します。外出時に杖を使用することは「活動」にあたり、もし外出そのものが困難な場合は「参加制約」と表現されます。","ICF（国際生活機能分類）において、右半身麻痺は身体機能の障害であり、「活動」レベルにおける制限として捉えられます。杖の使用は、活動を支援する「環境因子」に該当します。外出時に杖を使用すること自体は「活動」ですが、麻痺によって外出が困難になる場合は「参加制約」と表現されることがあります。疾患そのものはICFの分類には直接含まれません。"
11,Explanation,"インフルエンザの集団感染時には、早期診断と医師の判断に基づく抗インフルエンザ薬の投与が重要です。ノロウイルスの潜伏期間は通常1～2日であり、2週間の隔離は非現実的です。肺炎予防のための抗菌薬の予防投与は耐性菌のリスクを高めます。疥癬予防には、早期発見と適切な衛生管理が重要です。結核予防のための定期的な胸部X線検査も重要ですが、集団感染時の緊急対応としては優先度が低いと考えられます。","介護施設でインフルエンザの集団感染が発生した場合、早期診断と医師の判断に基づいた抗インフルエンザ薬の投与が重要です。ノロウイルスの潜伏期間は通常1～2日と短く、2週間の隔離は現実的ではありません。肺炎予防のための抗菌薬の予防投与は耐性菌のリスクを高めるため推奨されません。疥癬予防は早期発見と適切な衛生管理が重要であり、殺虫剤の予防的塗布は推奨されません。結核予防のための定期的な胸部X線検査は重要ですが、集団感染時の緊急対応としての優先度は低いと考えられます。"
12,Explanation,"変形性膝関節症は、加齢に伴い膝関節の軟骨が徐々にすり減り、痛みや関節の変形を引き起こす疾患です。高齢者の膝の痛みで最も一般的な原因であり、歩行困難の原因ともなります。","変形性膝関節症は、加齢に伴い膝関節の軟骨が徐々にすり減り、痛みや関節の変形を引き起こす疾患で、高齢者の膝の痛みで最も一般的な原因です。数年前からの症状の進行と、歩行困難という状態から、最も可能性が高いと考えられます。骨粗鬆症は骨折のリスクを高めますが、直接的な膝の痛みの原因とは限りません。関節リウマチは炎症性の関節疾患、腰部脊柱管狭窄症は腰痛や下肢の神経症状、大腿骨近位部骨折は急激な疼痛と歩行不能を引き起こします。"
13,Explanation,"気分の高揚（躁状態）、睡眠不足でも元気、誇大感は、双極性障害の躁病エピソードに特徴的な症状です。統合失調症は幻覚や妄想、うつ病は気分の落ち込み、パニック障害は強い不安発作、強迫性障害は強迫観念と強迫行為が主な症状です。","気分の高揚（躁状態）、睡眠時間の短縮、エネルギーの増加、誇大感は、双極性障害の躁病エピソードに特徴的な症状です。統合失調症は幻覚や妄想、思考の混乱などが主な症状です。うつ病は気分の落ち込み、意欲の低下などが中心となります。パニック障害は突然の強い不安発作、強迫性障害は強迫観念と強迫行為が主な症状です。"
15,Explanation,"リハビリテーションは、機能回復訓練だけでなく、残存能力を最大限に活用し、生活の質（QOL）の向上と社会参加を促進することを目的とします。フレイルはリハビリテーションの重要な対象です。リハビリテーションチームには、医師、看護師、理学療法士、作業療法士、言語聴覚士、ソーシャルワーカー、管理栄養士などが含まれます。嚥下障害のリハビリテーションは主に言語聴覚士が担当し、就労支援もリハビリテーションの一環として行われます。","リハビリテーションは、単に機能回復訓練を行うだけでなく、残存機能を最大限に活用し、生活の質（QOL）の向上と社会参加を促進することを目的とします。フレイルは、リハビリテーションによって改善が見込める重要な対象です。リハビリテーションチームは多職種連携であり、医師、看護師、理学療法士、作業療法士、言語聴覚士、ソーシャルワーカー、管理栄養士などが含まれます。嚥下障害のリハビリテーションは主に言語聴覚士が担当し、就労支援もリハビリテーションの重要な一環です。"
16,Explanation,"構造移動とは、産業構造の変化や技術革新、人口動態の変化など、社会全体の構造的な変動によって、個人の社会的地位が意図せず変化する現象を指します。純粋移動は、個人の能力や努力による移動、業績主義は個人の業績に基づく評価、属性主義は個人の生まれ持った属性に基づく評価、世代間移動は親世代と子世代間の地位変動を意味します。","構造移動とは、産業構造の変化、技術革新、人口動態の変化、経済変動など、社会全体の構造的な変動によって、個人の社会的地位が意図せず変化する現象を指します。純粋移動は個人の能力や努力による移動、業績主義は個人の業績に基づく評価、属性主義は個人の生まれ持った属性に基づく評価、世代間移動は親世代と子世代間の地位変動を意味します。"
17,Explanation,"平成27年国勢調査によると、15歳以上の就業者について、産業大分類別に男女比を見た場合、女性の割合が最も高いのは「医療、福祉」です。この分野は、看護師、介護福祉士、保育士など、女性が多く活躍する職種が含まれるため、女性の割合が高くなっています。","平成27年国勢調査によると、15歳以上の就業者について、産業大分類別に男女比を見た場合、女性の割合が最も高いのは「医療、福祉」です。この分野は、看護師、介護福祉士、保育士など、女性が多く活躍する職種が含まれるためです。"
18,Explanation,"リスク社会とは、ドイツの社会学者ウルリッヒ・ベックが提唱した概念で、科学技術の発展やグローバル化によってもたらされる、予測困難で制御不能なリスクが社会全体に広がる状況を指します。環境汚染、原子力事故、金融危機などがその例として挙げられます。","リスク社会とは、ドイツの社会学者ウルリッヒ・ベックが提唱した概念で、科学技術の発展やグローバル化によってもたらされる、予測困難で制御不能なリスクが社会全体に広がる状況を指します。環境汚染、原子力事故、地球温暖化、金融危機などがその例として挙げられます。"
19,Explanation,"国民生活基礎調査によると、65歳以上の単独世帯では、女性の単独世帯の割合が男性よりも高い傾向にあります。これは、女性の平均寿命が男性よりも長いことや、配偶者との死別後に再婚しない女性が多いことなどが要因として考えられます。","国民生活基礎調査によると、65歳以上の単独世帯では、女性の単独世帯の割合が男性よりも高い傾向にあります。これは、女性の平均寿命が男性よりも長いことや、配偶者との死別後に再婚しない女性が多いことなどが主な要因です。"
20,Explanation,"目的合理的行為とは、マックス・ヴェーバーが提唱した行為類型の一つで、一定の目的を達成するために、最も効率的な手段を合理的に選択する行為を指します。他の行為類型として、伝統的行為（慣習に基づく行為）、感情的行為（感情に突き動かされる行為）、価値合理的行為（価値観に基づいて合理的に選択する行為）があります。","目的合理的行為とは、マックス・ヴェーバーが提唱した行為類型の一つで、特定の目的を達成するために、最も効率的な手段を合理的に選択する行為を指します。他の行為類型として、伝統的行為（慣習や伝統に基づく行為）、感情的行為（感情や気分に突き動かされる行為）、価値合理的行為（特定の価値観に基づいて合理的に選択する行為）があります。"
21,Explanation,"ジョージ・ハーバート・ミードは、自我（Self）が主我（I）と客我（me）の相互作用によって形成されると考えました。主我は、他者からの影響を受けていない、個人的で自発的な側面を指します。客我は、他者からの期待や社会規範を内面化した、社会的な側面を指します。自我はこの二つの側面が統合されたものです。","ジョージ・ハーバート・ミードは、自己（Self）が主我（I）と客我（me）の相互作用によって形成されると考えました。主我は、他者からの影響を受けていない、個人的で自発的な側面を指します。客我は、他者からの期待や社会規範を内面化した、社会的な側面を指します。自我はこの二つの側面が統合されたものとして捉えられます。"
22,Explanation,"スティグマとは、社会学者のアーヴィング・ゴッフマンが提唱した概念で、個人が持つ特定の属性や特徴によって、社会的に否定的な評価を受け、差別や排除の対象となることを指します。これは、個人に押し付けられたレッテルや烙印として機能し、その人の社会生活に大きな影響を与えます。","スティグマとは、社会学者のアーヴィング・ゴッフマンが提唱した概念で、個人が持つ特定の属性や特徴（病歴、障害、性的指向、民族など）によって、社会的に否定的な評価を受け、差別や排除の対象となることを指します。これは、個人に押し付けられたレッテルや烙印として機能し、その人の社会生活、自己認識、機会に大きな影響を与えます。"
23,Explanation,"新経済社会7ヵ年計画（1979年）は、高度経済成長後の社会の変化に対応し、福祉国家の肥大化を抑制するため、「日本型福祉社会」の構築を提唱しました。これは、個人の自助努力、家族や地域の相互扶助を重視し、政府の役割を限定的にする考え方に基づいています。","新経済社会7ヵ年計画（1979年）は、高度経済成長後の社会の変化に対応し、福祉国家の肥大化を抑制するため、「日本型福祉社会」の構築を提唱しました。これは、個人の自助努力、家族や地域の相互扶助を重視し、政府の役割を補完的にする考え方に基づいています。背景には、オイルショック後の経済状況と、福祉国家の財政的な持続可能性への懸念がありました。"
24,Explanation,"ノーマライゼーションは、知的障害のある人々が地域社会で普通の生活を送ることを目指す考え方として、1950年代に北欧で始まりました。当初は知的障害者の施設収容からの脱却を意図していましたが、後に障害のある人だけでなく、高齢者や子どもなど、すべての人々が地域で共に暮らせる社会を目指す理念へと発展しました。","ノーマライゼーションは、知的障害のある人々が地域社会で普通の生活を送ることを目指す考え方として、1950年代に北欧で始まりました。当初は知的障害者の施設収容からの脱却を意図していましたが、後に障害のある人だけでなく、高齢者や子どもなど、すべての人々が地域で共に暮らせる社会を目指す理念へと発展しました。バンク-ミケルセンやニィリエによって提唱された概念です。"
25,Explanation,"エスピン＝アンデルセンは、福祉国家を、自由主義、保守主義、社会民主主義の3つのレジームに分類し、それぞれの特徴を分析しました。彼の福祉レジーム論は、各国の福祉政策の違いを理解する上で重要な視点を提供します。","エスピン＝アンデルセンは、福祉国家を、自由主義、保守主義、社会民主主義の3つのレジームに分類し、脱商品化、階層化、国家介入の度合いという3つの指標を用いて各レジームの特徴を分析しました。彼の福祉レジーム論は、各国の福祉政策の違いを理解する上で重要な視点を提供します。"
26,Explanation,"救護法（1929年）は、無告の窮民に対する救済を目的とした日本の公的扶助制度の基礎となりましたが、保護請求権は明記されていませんでした。また、保護の要件や範囲も限定的であり、その運用には様々な問題点がありました。","救護法（1929年）は、無告の窮民に対する救済を目的とした日本の公的扶助制度の基礎となりましたが、保護請求権は明記されていませんでした。また、保護の要件や範囲も限定的であり、その運用には様々な問題点がありました。実施主体は市町村でしたが、国の監督下に置かれていました。"
27,Explanation,"ピーター・タウンゼントは、貧困を単に所得の低さだけでなく、社会的に容認されている生活様式を送ることができない「相対的剥奪」の状態として捉えました。等価可処分所得の中央値の一定割合を下回る人々を貧困層と定義し、イギリスにおける貧困の実態を明らかにしました。","ピーター・タウンゼントは、貧困を単に所得の低さだけでなく、社会的に容認されている生活様式を送ることができない「相対的剥奪」の状態として捉えました。等価可処分所得の中央値の一定割合を下回る人々を貧困層と定義し、イギリスにおける貧困の実態を明らかにしました。彼は客観的な基準に基づいた貧困線を用いて、貧困の測定を試みました。"
28,Explanation,"ダブルケアは、育児と介護を同時に行う状態を指し、少子高齢化が進む現代社会における新しい社会的リスクとして注目されています。保活は、都市部を中心に深刻化する保育所不足を背景とした保護者の切実な活動です。","ダブルケアは、育児と介護を同時に行う状態を指し、少子高齢化が進む現代社会における新しい社会的リスクとして注目されています。保活は、都市部を中心に深刻化する保育所不足を背景とした保護者の切実な活動です。少子高齢化や女性の社会進出が進む中で、これらの問題に対する社会的な支援体制の整備が求められています。"
29,Explanation,"性的指向および性自認（SOGI）に関する差別禁止は、国際人権法上、未だ包括的な条約に明記されていません。しかし、多くの国や地域で国内法による保護が進んでおり、国際的な議論も活発化しています。","性的指向および性自認（SOGI）に関する差別禁止は、国際人権法上、未だ包括的な条約に明記されていません。しかし、多くの国や地域で国内法による保護が進んでおり、国際的な議論も活発化しています。他の選択肢は、それぞれ障害者権利条約、児童の権利に関する条約、国際人権規約などに規定されています。"
30,Explanation,"市場化テストは、公共サービスの提供主体を官から民へ移行する際に、競争原理を導入することで効率化を図る手法です。官民競争入札などを通じて、最も適切な事業者を選定し、サービスの質向上とコスト削減を目指します。","市場化テストは、公共サービスの提供主体を官から民へ移行する際に、競争原理を導入することで効率化を図る手法です。官民競争入札などを通じて、最も適切な事業者を選定し、サービスの質向上とコスト削減を目指します。これにより、税金の有効活用と国民へのサービス向上を図ることが期待されます。"
31,Explanation,"人間開発指数（HDI）は、アマルティア・センのケイパビリティ・アプローチに基づき、人々の潜在能力（ケイパビリティ）の発揮を重視しています。HDIは、健康、教育、所得という3つの側面から、各国の人間開発の達成度を総合的に評価する指標です。","人間開発指数（HDI）は、アマルティア・センのケイパビリティ・アプローチに基づき、人々の潜在能力（ケイパビリティ）の発揮を重視しています。HDIは、健康（平均寿命）、教育（平均就学年数と予想就学年数）、所得（一人当たり国民総所得）という3つの側面から、各国の人間開発の達成度を総合的に評価する指標です。"
32,Explanation,"就学援助制度は、経済的な理由で就学が困難な小・中学生の保護者に対し、学用品費、給食費、医療費などを援助する制度です。これにより、すべての子どもたちが等しく教育を受ける機会を保障し、貧困の連鎖を断ち切ることを目指しています。","就学援助制度は、経済的な理由で就学が困難な小・中学生の保護者に対し、学用品費、給食費、医療費などを援助する制度です。これにより、すべての子どもたちが等しく教育を受ける機会を保障し、貧困の連鎖を断ち切ることを目指しています。地方自治体が実施主体となっています。"
